file,funding,funding_num
arctic-data.10000.1,1203526,1203526
arctic-data.10014.16,1263854,1263854
arctic-data.10015.9,1432277,1432277
arctic-data.10018.31,1204059,1204059
arctic-data.10020.22,1107662,1107662
arctic-data.10024.8,ARC-1203506,1203506
arctic-data.10038.5,1203506,1203506
arctic-data.10039.2,1107106,1107106
arctic-data.10040.2,1107106,1107106
arctic-data.10042.10,1204005,1204005
arctic-data.10043.11,1203990,1203990
arctic-data.10045.6,1203262,1203262
arctic-data.10048.6,NSF ARC-1022716,1022716
arctic-data.10048.6,NSF OCE-1458941,1458941
arctic-data.10048.6,NSF OCE-0961980,0961980
arctic-data.10050.5,NSF ARC-1022716,1022716
arctic-data.10050.5,NSF OCE-1458941,1458941
arctic-data.10050.5,NSF OCE-0961980,0961980
arctic-data.10052.6,NSF ARC-1022716,1022716
arctic-data.10052.6,NSF OCE-1458941,1458941
arctic-data.10052.6,NSF OCE-0961980,0961980
arctic-data.10053.6,1107892,1107892
arctic-data.10053.6, 1304823,1304823
arctic-data.10053.6, 1500931,1500931
arctic-data.10053.6,1304823,1304823
arctic-data.10053.6,1500931,1500931
arctic-data.10054.3,1446308,1446308
arctic-data.10055.8,1142201,1142201
arctic-data.10058.5,1547011,1547011
arctic-data.10059.21,0856479,0856479
arctic-data.10060.3,1204005,1204005
arctic-data.10063.5,1523191,1523191
arctic-data.10064.4,1523191,1523191
arctic-data.10065.4,1301929,1301929
arctic-data.10066.6,1523191,1523191
arctic-data.10067.6,1458941,1458941
arctic-data.10067.6,1022716,1022716
arctic-data.10067.6,0961980,0961980
arctic-data.10069.6,1445823,1445823
arctic-data.10070.2,1107106,1107106
arctic-data.10071.9,0856479,0856479
arctic-data.10107.8,1107491,1107491
arctic-data.10108.4,1339445,1339445
arctic-data.10110.7,1504934,1504934
arctic-data.10113.7,1107491,1107491
arctic-data.10114.11,1523191,1523191
arctic-data.10115.11,1523191,1523191
arctic-data.10117.5,1432982,1432982
arctic-data.10122.6,1432982,1432982
arctic-data.10124.4,1432982,1432982
arctic-data.10126.9,1432982,1432982
arctic-data.10128.5,1432982,1432982
arctic-data.10130.5,1432982,1432982
arctic-data.10132.6,1504381,1504381
arctic-data.10134.5,1504381,1504381
arctic-data.10136.6,1504381,1504381
arctic-data.10138.5,1504381,1504381
arctic-data.10140.4,1504381,1504381
arctic-data.10142.5,1504381,1504381
arctic-data.10144.5,1504381,1504381
arctic-data.10146.5,1504381,1504381
arctic-data.10148.4,1432982,1432982
arctic-data.10151.6,1432982,1432982
arctic-data.10153.4,0756708,0756708
arctic-data.10154.10,1107491,1107491
arctic-data.10156.1,1108074,1108074
arctic-data.10495.7,1108074,1108074
arctic-data.10496.1,12345,12345
arctic-data.10497.9,0649006,0649006
arctic-data.10499.6,1205008,1205008
arctic-data.10502.6,1205008,1205008
arctic-data.10504.7,1205008,1205008
arctic-data.10506.4,1205008,1205008
arctic-data.10508.5,1205008,1205008
arctic-data.10510.4,1205008,1205008
arctic-data.10512.4,1205008,1205008
arctic-data.10514.4,1205008,1205008
arctic-data.10516.5,1205008,1205008
arctic-data.10518.4,1205008,1205008
arctic-data.10520.4,1205008,1205008
arctic-data.10522.5,1205008,1205008
arctic-data.10524.4,1205008,1205008
arctic-data.10529.10,1503672,1503672
arctic-data.10529.10,0520287,0520287
arctic-data.10529.10,0856292,0856292
arctic-data.10530.3,1304613,1304613
arctic-data.10536.12,1503672,1503672
arctic-data.10536.12,0520287,0520287
arctic-data.10536.12,0856292,0856292
arctic-data.10538.17,1504141,1504141
arctic-data.10540.6,1504141,1504141
arctic-data.10542.7,1504141,1504141
arctic-data.10544.6,1504141,1504141
arctic-data.10545.2,1205008,1205008
arctic-data.10547.8,1504141,1504141
arctic-data.11065.9,1108074,1108074
arctic-data.11065.9,1637459,1637459
arctic-data.11065.9,1026843,1026843
arctic-data.11065.9,981022,981022
arctic-data.11065.9,9211775,9211775
arctic-data.13710.5,1108074,1108074
arctic-data.13710.5,1637459,1637459
arctic-data.13710.5,1026843,1026843
arctic-data.13710.5,981022,981022
arctic-data.13710.5,9211775,9211775
arctic-data.13714.3,1044610,1044610
arctic-data.13714.3,1304007,1304007
arctic-data.13714.3,1103443,1103443
arctic-data.13714.3,1304040,1304040
arctic-data.13716.2,1504394,1504394
arctic-data.13724.4,0856531,0856531
arctic-data.13735.3,0856531,0856531
arctic-data.13740.1,0856531,0856531
arctic-data.13748.3,0856531,0856531
arctic-data.13749.4,1418268,1418268
arctic-data.13753.2,0856531,0856531
arctic-data.13754.8,1224181,1224181
arctic-data.13755.3,1504141,1504141
arctic-data.13757.2,1546954,1546954
arctic-data.13758.12,1304271,1304271
arctic-data.13762.8,1203271,1203271
arctic-data.13767.5,1417149,1417149
arctic-data.13777.3,1204263,1204263
arctic-data.13778.2,1546024,1546024
arctic-data.13784.7,1304271,1304271
arctic-data.13788.4,1204082,1204082
arctic-data.13802.7,1503672,1503672
arctic-data.13802.7,0520287,0520287
arctic-data.13802.7,0856292,0856292
arctic-data.13809.12,1603407,1603407
arctic-data.13814.7,1503672,1503672
arctic-data.13814.7,0520287,0520287
arctic-data.13814.7,0856292,0856292
arctic-data.13819.5,1636711,1636711
arctic-data.13835.9,PLR-1332911,1332911
arctic-data.13837.3,1504141,1504141
arctic-data.13839.7,1204233,1204233
arctic-data.13841.4,1304523,1304523
arctic-data.13841.4,1304879,1304879
arctic-data.13843.4,1304523,1304523
arctic-data.13843.4,1304879,1304879
arctic-data.13844.3,1642016,1642016
arctic-data.13854.3,1449784,1449784
arctic-data.13861.9,1304905,1304905
arctic-data.13863.4,1304905,1304905
arctic-data.13865.8,1349259,1349259
arctic-data.13876.5,PLR1500169,1500169
arctic-data.13877.3,1304052,1304052
arctic-data.13879.7,1637688,1637688
arctic-data.13882.7,1503928,1503928
arctic-data.13888.14,1702456,1702456
arctic-data.13890.3,1236971,1236971
arctic-data.13891.10,1344264,1344264
arctic-data.13911.24,1204044,1204044
