funding_num,n_datasets,dataset_ids,funding_text,min_pubDate,min_dateUploaded,date,expDate,fundProgramName,startDate,title
0125399,12,autogen.2016032220051934231.3; autogen.2016032220052416232.3; autogen.2016032220053263834.3; autogen.2016032220054111736.3; autogen.2016032220054536937.3; autogen.2016032220090466683.3; autogen.2016032220090887884.3; autogen.2016032220091271285.3; autogen.2016032220091620386.3; autogen.2016032220094140092.3; autogen.2016032220211493347.3; autogen.2016032220214513354.3,0125399,NA,2018-05-30T12:09:23Z,01/30/2002,01/31/2008,ARCTIC SYSTEM SCIENCE PROGRAM,02/01/2002,Collaborative Research:  CTD/Hydrographic and Underway Service Measurements for the Shelf-Basin Interactions Phase II Field Project
0229302,1,autogen.2016032220430238680.12,0229302,2016-09-06T00:00:00Z,2016-11-29T10:04:16Z,09/11/2002,09/30/2007,ARCTIC SYSTEM SCIENCE PROGRAM,10/01/2002,Biogeochemical Tracers in Arctic Rivers:  Linking the Pan-Arctic Watershed to the Arctic Ocean
0229766,2,autogen.2016032218361353118.3; autogen.2016032220395917032.5,0229766,NA,2018-05-23T14:30:23Z,11/18/2002,12/31/2007,ARCTIC SYSTEM SCIENCE PROGRAM,01/01/2003,Changes in Freeze-Thaw and Permafrost Dynamics and Their Hydrological Implication over the Russian Arctic Drainage Basin
0230236,2,autogen.2016032220591086239.2; autogen.2016032221033504407.3,NSF Award 0230236,2013-10-24T00:00:00Z,2016-04-02T09:02:52Z,09/05/2002,12/31/2008,ARCTIC SYSTEM SCIENCE PROGRAM,01/01/2003,"Collaborative Research:  Variability and Forcing of Fluxes Through Nares Strait and Jones Sound, a Freshwater Emphasis"
0244097,7,autogen.2016032221570228057.3; autogen.2016032221571727461.3; autogen.2016032221573580466.3; autogen.2016032221575146070.3; autogen.2016032221584580084.3; autogen.2016032221591709892.3; autogen.2016032221595790801.3,0244097,2013-11-09T00:00:00Z,2018-05-29T14:44:10Z,05/07/2003,04/30/2009,ARCTIC NATURAL SCIENCES,05/15/2003,"Holocene and Modern Climate Change in the High Arctic:  Establishing an REU site on Svalbard, Norway"
0326109,1,autogen.2016032221190571258.3,0326109,2009-11-18T00:00:00Z,2018-05-22T14:39:22Z,08/08/2003,08/31/2009,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2003,Collaborative Research: Ocean Pressure in the Arctic Derived From Satellite Gravity Observations and In Situ Pressure Measurements
0327664,2,autogen.2016032221144648785.2; autogen.2016032221144915686.8,NSF Award 0327664; 0327664,2014-08-01T00:00:00Z,2016-04-02T09:11:28Z,02/27/2004,06/30/2008,ARCTIC SYSTEM SCIENCE PROGRAM,03/01/2004,International Arctic Research Center (IARC)
0335941,1,autogen.2016032221171658226.2,NSF Award 0335941,2009-11-18T00:00:00Z,2016-04-02T09:17:59Z,04/19/2004,03/31/2010,ARCTIC SYSTEM SCIENCE PROGRAM,04/15/2004,"Long-term Measurements and Observations for the International Arctic Research Community on the Kuparuk River Basin, Alaska"
0336450,4,autogen.2016032221002191458.3; autogen.2016032221004557664.3; autogen.2016032221010455269.2; autogen.2016032221010799870.2,0336450; NSF Award 0336450,2009-11-18T00:00:00Z,2016-04-02T08:55:26Z,09/09/2003,08/31/2010,AON IMPLEMENTATION,09/15/2003,"Core Measurements at Summit, Greenland Environmental Observatory"
0352687,1,autogen.2016032221185806456.2,NSF Award 0352687,2009-11-18T00:00:00Z,2016-04-02T09:07:27Z,09/07/2004,08/31/2009,AON IMPLEMENTATION,09/01/2004,Collaborative Research: North Pole Station: A Distributed Long-Term Environmental Observatory
0424589,35,arctic-data.14089.3; autogen.2017091414211512279.3; autogen.2017092913533601942.2; autogen.2017100210473224546.1; autogen.2017100213162479875.1; autogen.2017100215281758923.1; autogen.2017100410083227723.1; autogen.2017100413111982352.1; autogen.2017100415184321012.1; autogen.2017100910035562221.1; autogen.2017100913140960552.1; autogen.2017100916013516774.1; autogen.2017101109373688944.1; autogen.2017101111384617543.1; autogen.2017101113042189948.1; autogen.2017101114125757850.2; autogen.2017101609431687137.1; autogen.2017101610261866494.1; autogen.2017101611212513117.1; autogen.2017101613082137706.1; autogen.2017101615003276182.1; autogen.2017101616551765771.1; autogen.2017101810265587347.1; autogen.2017101812351115636.1; autogen.2017101814133757776.1; autogen.2017101814465645731.1; autogen.2017101815262570855.1; autogen.2017102309542892166.1; autogen.20171023102020272100.2; autogen.2017102310330813209.2; autogen.2017102311111801043.1; autogen.2017102312072883584.1; autogen.2017102312191905093.1; autogen.2017102312323689932.1; autogen.2017102312454977035.2,0424589,2017-08-28T00:00:00Z,2017-09-29T11:54:32Z,08/01/2005,05/31/2017,STC CLASS OF 2005,06/01/2005,Center for Remote Sensing of Ice Sheets (CReSIS)
0424864,7,arctic-data.7841.3; arctic-data.7842.3; arctic-data.7843.4; arctic-data.9397.2; arctic-data.9400.2; arctic-data.9403.2; autogen.2016032221501814253.3,0424864; NSF Award 0424864,2009-11-18T00:00:00Z,2016-08-02T12:22:17Z,09/14/2004,09/30/2011,AON IMPLEMENTATION,10/01/2004,The Beaufort Gyre System:   Flywheel of the Arctic Climate?
0519899,1,autogen.2018052415240837763.3,0519899,2018-04-09T00:00:00Z,2018-05-29T15:29:25Z,01/20/2006,01/31/2008,AON IMPLEMENTATION,02/01/2006,Design and Initialization of an Ice-Tethered Profiler Array Contributing to the Arctic Observing System
0520328,1,autogen.2016032221203808884.2,NSF Award 0520328,2009-11-18T00:00:00Z,2016-04-02T09:00:18Z,02/16/2006,01/31/2008,AON IMPLEMENTATION,02/01/2006,Ocean-Ice Interaction Measurements using Autonomous Ocean Flux Buoys in the Arctic Observing System
0520578,4,autogen.2016032221013553377.3; autogen.2016032221014715680.9; autogen.2016032221020309384.21; autogen.2017082211331739634.22,NSF Award 0520578; 0520578,2009-11-18T00:00:00Z,2018-05-24T14:44:10Z,08/22/2006,12/31/2009,ARCTIC NATURAL SCIENCES,09/01/2006,Thermal State of Permafrost (TSP): The US Contribution to the International Permafrost Observatory Network
0528632,1,autogen.2016032220592405443.2,NSF Award 0528632,2009-11-18T00:00:00Z,2016-04-02T09:32:28Z,05/10/2005,10/31/2007,AON IMPLEMENTATION,05/15/2005,Comparison of Water Properties and Flows in the U.S. and Russian Channels of the Bering Strait - 2005 to 2006
0538427,1,autogen.2016032220462312535.2,NSF Award 0538427,2015-03-04T00:00:00Z,2016-04-02T03:37:15Z,04/28/2006,06/30/2010,ANTARCTIC GLACIOLOGY,07/01/2006,Trace and Ultra-Trace Chemistry Measurements of the WAIS Divide Ice Core
0611995,1,autogen.2016032221053629239.2,NSF Award 0611995,2012-05-09T00:00:00Z,2016-04-02T09:30:18Z,08/25/2006,08/31/2010,ARCTIC NATURAL SCIENCES,09/01/2006,Factors controlling seasonal changes in the structure and function of food webs of perennial spring streams in Arctic Alaska
0612452,1,autogen.2016032221021401187.2,NSF Award 0612452,2009-11-18T00:00:00Z,2016-04-02T09:20:43Z,01/23/2007,01/31/2010,AON IMPLEMENTATION,02/01/2007,Development of data products for the  University of Wisconsin High Spectral Resolution Lidar
0612457,4,autogen.2016032221502103054.4; autogen.2016032221502884456.8; autogen.2016032221503268657.12; autogen.2016112911315916889.4,0612457; ARC-0612457,2009-11-18T00:00:00Z,2016-10-21T13:19:26Z,05/03/2007,04/30/2011,ARCTIC NATURAL SCIENCES,05/15/2007,Collaborative Research: The Collaborative O-Buoy Project: Deployment of a Network of Arctic Ocean Chemical Sensors for the IPY and Beyond
0612461,1,autogen.2016032220504073903.2,NSF Award 0612461,2013-07-12T00:00:00Z,2016-04-02T09:11:39Z,06/22/2006,06/30/2009,ARCTIC NATURAL SCIENCES,07/01/2006,Collaborative Research: An Isotope MIF Study of Volcanic Events in Greenland Ice Cores
0612534,2,arctic-data.6228.6; autogen.2017120417004568948.1,0612534,2016-06-14T00:00:00Z,2016-05-16T16:00:00Z,08/18/2006,08/31/2010,ARCTIC NATURAL SCIENCES,09/01/2006,Mechanisms and feedback consequences of shrub expansion following long-term increases in winter snow depth in northern Alaska: a legacy for IPY
0622406,1,autogen.2016032221472444408.2,NSF Award 0622406,2009-11-18T00:00:00Z,2016-04-02T09:32:38Z,05/03/2006,07/31/2009,AON IMPLEMENTATION,05/15/2006,Development and implementation of the terrestrial Circumarctic Environmental Observatories Network (CEON)
0631713,1,autogen.2016032221520325781.2,NSF Award 0631713,2009-11-18T00:00:00Z,2016-04-02T09:28:08Z,02/23/2007,02/28/2010,ARCTIC NATURAL SCIENCES,03/01/2007,IPY: COLLABORATIVE RESEARCH: The Pacific Gateway to the Arctic- Quantifying and Understanding Bering Strait Oceanic Fluxes
0631951,2,autogen.2016032222012410823.4; autogen.2018052415240837763.3,0631951,2014-08-15T00:00:00Z,2018-05-24T13:08:58Z,01/24/2007,01/31/2011,AON IMPLEMENTATION,02/01/2007,IPY:  Towards an Arctic Observing Network:  An array of Ice-Tethered Profilers to sample the upper ocean water properties during the International Polar Year
0632139,1,autogen.2016032220472411252.2,NSF Award 0632139,2009-11-18T00:00:00Z,2016-04-02T09:17:25Z,03/13/2007,02/29/2012,ARCTIC NATURAL SCIENCES,03/15/2007,"IPY: Collaborative Research on Carbon, Water, and Energy Balance of the Arctic Landscape at Flagship Observatories and in a PanArctic Network"
0632144,1,autogen.2016032221304772150.3,NSF Award 0632144,2009-11-18T00:00:00Z,2017-09-11T15:24:23Z,02/07/2007,01/31/2010,AON IMPLEMENTATION,02/15/2007,IPY: Collaborative Research: Study of arctic ecosystem changes in the IPY using the International Tundra Experiment
