funding_num,funding_text,n_datasets,nsf_match,min_pubDate,min_dateUploaded
0125399,0125399,12,TRUE,NA,2018-05-30T12:09:23Z
0229302,0229302,1,TRUE,2016-09-06T00:00:00Z,2016-11-29T10:04:16Z
0229766,0229766,2,TRUE,NA,2018-05-23T14:30:23Z
0230236,NSF Award 0230236,2,TRUE,2013-10-24T00:00:00Z,2016-04-02T09:02:52Z
0244097,0244097,7,TRUE,2013-11-09T00:00:00Z,2018-05-29T14:44:10Z
0326109,0326109,1,TRUE,2009-11-18T00:00:00Z,2018-05-22T14:39:22Z
0327664,NSF Award 0327664; 0327664,2,TRUE,2014-08-01T00:00:00Z,2016-04-02T09:11:28Z
0335941,NSF Award 0335941,1,TRUE,2009-11-18T00:00:00Z,2016-04-02T09:17:59Z
0336450,0336450; NSF Award 0336450,4,TRUE,2009-11-18T00:00:00Z,2016-04-02T08:55:26Z
0352687,NSF Award 0352687,1,TRUE,2009-11-18T00:00:00Z,2016-04-02T09:07:27Z
0424589,0424589,35,TRUE,2017-08-28T00:00:00Z,2017-09-29T11:54:32Z
0424864,0424864; NSF Award 0424864,7,TRUE,2009-11-18T00:00:00Z,2016-08-02T12:22:17Z
0519899,0519899,1,TRUE,2018-04-09T00:00:00Z,2018-05-29T15:29:25Z
0520328,NSF Award 0520328,1,TRUE,2009-11-18T00:00:00Z,2016-04-02T09:00:18Z
0520578,NSF Award 0520578; 0520578,4,TRUE,2009-11-18T00:00:00Z,2018-05-24T14:44:10Z
0528632,NSF Award 0528632,1,TRUE,2009-11-18T00:00:00Z,2016-04-02T09:32:28Z
0538427,NSF Award 0538427,1,TRUE,2015-03-04T00:00:00Z,2016-04-02T03:37:15Z
0611995,NSF Award 0611995,1,TRUE,2012-05-09T00:00:00Z,2016-04-02T09:30:18Z
0612452,NSF Award 0612452,1,TRUE,2009-11-18T00:00:00Z,2016-04-02T09:20:43Z
0612457,0612457; ARC-0612457,4,TRUE,2009-11-18T00:00:00Z,2016-10-21T13:19:26Z
