funding_num,date,expDate,fundProgramName,startDate,title
0125399,01/30/2002,01/31/2008,ARCTIC SYSTEM SCIENCE PROGRAM,02/01/2002,Collaborative Research:  CTD/Hydrographic and Underway Service Measurements for the Shelf-Basin Interactions Phase II Field Project
0229302,09/11/2002,09/30/2007,ARCTIC SYSTEM SCIENCE PROGRAM,10/01/2002,Biogeochemical Tracers in Arctic Rivers:  Linking the Pan-Arctic Watershed to the Arctic Ocean
0229766,11/18/2002,12/31/2007,ARCTIC SYSTEM SCIENCE PROGRAM,01/01/2003,Changes in Freeze-Thaw and Permafrost Dynamics and Their Hydrological Implication over the Russian Arctic Drainage Basin
0230236,09/05/2002,12/31/2008,ARCTIC SYSTEM SCIENCE PROGRAM,01/01/2003,"Collaborative Research:  Variability and Forcing of Fluxes Through Nares Strait and Jones Sound, a Freshwater Emphasis"
0244097,05/07/2003,04/30/2009,ARCTIC NATURAL SCIENCES,05/15/2003,"Holocene and Modern Climate Change in the High Arctic:  Establishing an REU site on Svalbard, Norway"
0326109,08/08/2003,08/31/2009,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2003,Collaborative Research: Ocean Pressure in the Arctic Derived From Satellite Gravity Observations and In Situ Pressure Measurements
0327664,02/27/2004,06/30/2008,ARCTIC SYSTEM SCIENCE PROGRAM,03/01/2004,International Arctic Research Center (IARC)
0335941,04/19/2004,03/31/2010,ARCTIC SYSTEM SCIENCE PROGRAM,04/15/2004,"Long-term Measurements and Observations for the International Arctic Research Community on the Kuparuk River Basin, Alaska"
0336450,09/09/2003,08/31/2010,AON IMPLEMENTATION,09/15/2003,"Core Measurements at Summit, Greenland Environmental Observatory"
0352687,09/07/2004,08/31/2009,AON IMPLEMENTATION,09/01/2004,Collaborative Research: North Pole Station: A Distributed Long-Term Environmental Observatory
0424589,08/01/2005,05/31/2017,STC CLASS OF 2005,06/01/2005,Center for Remote Sensing of Ice Sheets (CReSIS)
0424864,09/14/2004,09/30/2011,AON IMPLEMENTATION,10/01/2004,The Beaufort Gyre System:   Flywheel of the Arctic Climate?
0519899,01/20/2006,01/31/2008,AON IMPLEMENTATION,02/01/2006,Design and Initialization of an Ice-Tethered Profiler Array Contributing to the Arctic Observing System
0520328,02/16/2006,01/31/2008,AON IMPLEMENTATION,02/01/2006,Ocean-Ice Interaction Measurements using Autonomous Ocean Flux Buoys in the Arctic Observing System
0520578,08/22/2006,12/31/2009,ARCTIC NATURAL SCIENCES,09/01/2006,Thermal State of Permafrost (TSP): The US Contribution to the International Permafrost Observatory Network
0528632,05/10/2005,10/31/2007,AON IMPLEMENTATION,05/15/2005,Comparison of Water Properties and Flows in the U.S. and Russian Channels of the Bering Strait - 2005 to 2006
0538427,04/28/2006,06/30/2010,ANTARCTIC GLACIOLOGY,07/01/2006,Trace and Ultra-Trace Chemistry Measurements of the WAIS Divide Ice Core
0611995,08/25/2006,08/31/2010,ARCTIC NATURAL SCIENCES,09/01/2006,Factors controlling seasonal changes in the structure and function of food webs of perennial spring streams in Arctic Alaska
0612452,01/23/2007,01/31/2010,AON IMPLEMENTATION,02/01/2007,Development of data products for the  University of Wisconsin High Spectral Resolution Lidar
0612457,05/03/2007,04/30/2011,ARCTIC NATURAL SCIENCES,05/15/2007,Collaborative Research: The Collaborative O-Buoy Project: Deployment of a Network of Arctic Ocean Chemical Sensors for the IPY and Beyond
0612461,06/22/2006,06/30/2009,ARCTIC NATURAL SCIENCES,07/01/2006,Collaborative Research: An Isotope MIF Study of Volcanic Events in Greenland Ice Cores
0612534,08/18/2006,08/31/2010,ARCTIC NATURAL SCIENCES,09/01/2006,Mechanisms and feedback consequences of shrub expansion following long-term increases in winter snow depth in northern Alaska: a legacy for IPY
0622406,05/03/2006,07/31/2009,AON IMPLEMENTATION,05/15/2006,Development and implementation of the terrestrial Circumarctic Environmental Observatories Network (CEON)
0631713,02/23/2007,02/28/2010,ARCTIC NATURAL SCIENCES,03/01/2007,IPY: COLLABORATIVE RESEARCH: The Pacific Gateway to the Arctic- Quantifying and Understanding Bering Strait Oceanic Fluxes
0631951,01/24/2007,01/31/2011,AON IMPLEMENTATION,02/01/2007,IPY:  Towards an Arctic Observing Network:  An array of Ice-Tethered Profilers to sample the upper ocean water properties during the International Polar Year
0632139,03/13/2007,02/29/2012,ARCTIC NATURAL SCIENCES,03/15/2007,"IPY: Collaborative Research on Carbon, Water, and Energy Balance of the Arctic Landscape at Flagship Observatories and in a PanArctic Network"
0632144,02/07/2007,01/31/2010,AON IMPLEMENTATION,02/15/2007,IPY: Collaborative Research: Study of arctic ecosystem changes in the IPY using the International Tundra Experiment
0632187,03/13/2007,02/28/2010,AON IMPLEMENTATION,03/15/2007,Collaborative Research:  IPY:  Cloud Properties Across the Arctic Basin from Surface and Satellite Measurements - An Existing Arctic Observing Network
0632201,02/22/2007,02/28/2009,AON IMPLEMENTATION,03/01/2007,IPY:  Observing the dynamics of the deepest waters in the Arctic Ocean
0632231,03/29/2007,03/31/2011,AON IMPLEMENTATION,04/01/2007,IPY:  An Innovative Observational Network for Critical Arctic Gateways--Understanding Exchanges through Davis and Fram Straits
0632296,02/28/2007,02/28/2011,AON IMPLEMENTATION,03/01/2007,"Collaborative Research, IPY:   A Cooperative Arctic Data and Information Service (CADIS)"
0632345,04/06/2007,04/30/2010,AON IMPLEMENTATION,05/01/2007,IPY: Exchange for Local Observations and Knowledge of the Arctic (ELOKA)
0632387,03/13/2007,06/30/2011,ARCTIC SYSTEM SCIENCE PROGRAM,03/15/2007,"IPY: Pan-Arctic Studies of the Coupled Tropospheric, Stratospheric and Mesospheric Circulation"
0632398,03/29/2007,03/31/2011,ARCTIC SYSTEM SCIENCE PROGRAM,04/01/2007,IPY: Collaborative Research on the State of the Arctic Sea Ice Cover: An Integrated Seasonal Ice Zone Observing Network (SIZONET)
0632400,02/06/2007,01/31/2011,ARCTIC SYSTEM SCIENCE PROGRAM,02/15/2007,IPY: Development of a Network of Permafrost Observatories in North America and Russia: The US Contribution to the International Polar Year
0633979,05/15/2007,04/30/2010,AON IMPLEMENTATION,05/15/2007,IPY: Collaborative Research: Aerial Hydrographic Surveys for IPY and Beyond: Tracking Change and Understanding Seasonal Variability
0634079,05/31/2007,09/30/2009,ARCTIC SOCIAL SCIENCES,06/01/2007,International Polar Year Collaborative Project: Bering Sea Sub-Network:   International Community-Based Observation Alliance for Arctic Observing Network (BSSN)
0638408,03/29/2007,03/31/2011,AON IMPLEMENTATION,04/01/2007,IPY Collaborative Research: Is the Arctic Human Environment Moving to a New State?
0649006,09/10/2007,08/31/2013,ARCTIC NATURAL SCIENCES,09/15/2007,The Svalbard REU - Holocene and Modern Climate Change in the High Arctic
0710891,09/11/2007,08/31/2012,ARCTIC NATURAL SCIENCES,09/15/2007,Collaborative Research: High-resolution studies of glacier dynamics at two major outlet glaciers in East Greenland
0713943,08/24/2007,08/31/2013,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2007,Collaborative Research:  A Synthesis of Existing and New Observations of Air-Snowpack Exchanges to Assess the Arctic
0714078,09/07/2007,08/31/2013,ARCTIC NATURAL SCIENCES,09/15/2007,Collaborative Research: The Impacts of Arctic Storms on Landfast Ice Variations
0715431,08/23/2007,07/31/2014,ARCTIC SOCIAL SCIENCES,09/01/2007,"Collaborative Proposal: Indigenous-State Relations in Alaska and Beyond:Sustainable Livelihoods, Biocultural Diversity and Health Since the Alaska Native Claims Settlement Act"
0732556,09/05/2007,09/30/2011,AON IMPLEMENTATION,10/01/2007,IPY: Halogen Chemistry and Ocean-Atmosphere-Sea Ice-Snowpack (OASIS) Chemical Exchange During IPY
0732713,12/17/2007,12/31/2011,ARCTIC NATURAL SCIENCES,01/01/2008,Adaptive long-term fasting in land- and ice-bound polar bears: coping with ice loss in the Arctic?
0732726,04/21/2008,03/31/2011,AON IMPLEMENTATION,04/15/2008,Collaborative Research: IPY:  Dynamic Controls on Tidewater Glacier Retreat
0732846,09/13/2007,08/31/2014,ARCTIC SOCIAL SCIENCES,09/15/2007,COLLABORATIVE RESEARCH: IPY:  Reconstruction of Human Genetic History Along the North Slope
0732885,09/10/2007,08/31/2012,ARCTIC NATURAL SCIENCES,09/15/2007,IPY Back to the Future (BTF): Re-sampling old research sites to assess change in high latitude terrestrial ecosystem structure and function
0732944,09/26/2007,12/31/2010,CCLI-Type 3 (Comprehensive),01/01/2008,Collaborative Research.  IPY:  The Polaris Project:  Rising Stars in the Arctic
0732948,02/20/2008,02/29/2012,ARCTIC NATURAL SCIENCES,03/01/2008,Collaborative Research: IPY: Observation and Modeling of Tundra Ecosystem Responses to Climate Change
0732985,06/20/2008,06/30/2012,AON IMPLEMENTATION,07/01/2008,Collaborative Research: IPY: Arctic Great Rivers Observatory (Arctic-GRO)
0733074,09/04/2007,08/31/2011,ARCTIC SYSTEM SCIENCE PROGRAM,09/15/2007,IPY: Microbial winter survival physiology: a driver on microbial community composition and carbon cycling
0756708,07/14/2009,07/31/2013,HUMANS IN THE POLAR REGIONS,08/01/2009,"Using Inuit Qaujimajatuqangit, Tradtional Knowledge, To Guide The Development Of Hypothses On Narwhal Tusk Function"
0803352,08/20/2008,08/31/2012,ARCTIC NATURAL SCIENCES,09/01/2008,Collaborative Research: TransArctic Paleoclimate of the Eocene
0805703,08/25/2008,08/31/2010,ARCTIC RESEARCH AND EDUCATION,09/01/2008,"Polar Sea-Ice Information Needs: Interdisciplinary Training, Outreach and IPY Legacy Products Through a Sea-Ice System Services Approach"
0806202,08/20/2008,11/30/2012,ARCTIC NATURAL SCIENCES,12/01/2008,"Collaborative Research: Controls on the motion of soft-bedded glaciers from hourly to seasonal observations of force budget and basal conditions at Breidamerkurjokull, Iceland"
0806339,08/18/2008,08/31/2012,ARCTIC NATURAL SCIENCES,09/01/2008,Collaborative Research: The NEEM Deep Ice Core
0806394,08/20/2008,08/31/2014,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2008,COLLABORATIVE RESEARCH:   Spatial and Temporal Influences of Thermokarst Failures on Surface Processes in Arctic Landscapes
0806414,08/18/2008,08/31/2014,ARCTIC NATURAL SCIENCES,09/01/2008,Collaborative Research: The NEEM Deep Ice Core
0806451,08/20/2008,08/31/2013,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2008,COLLABORATIVE RESEARCH:   Spatial and Temporal Influences of thermokarst features on Surface Processes in Arctic Landscapes
0806465,08/20/2008,08/31/2013,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2008,COLLABORATIVE RESEARCH:  Spatial and Temporal Influences of Thermokarst Failures on Surface Processes in Arctic Landscapes
0806506,08/27/2008,08/31/2012,ARCTIC NATURAL SCIENCES,09/15/2008,Modeling patch-scale expansion of arctic shrubs
0806643,08/28/2008,08/31/2013,ARCTIC NATURAL SCIENCES,09/15/2008,"Collaborative Research: Chemical Weathering and Organic Carbon Export From Arctic Watersheds, North Slope, AK"
0806776,07/23/2008,08/31/2012,ARCTIC NATURAL SCIENCES,09/01/2008,Collaborative Research: Cold-season gas exchange of arctic plants - resolving winter carbon and water balances of Alaskan arctic tundra
0807094,08/07/2008,08/31/2012,ARCTIC NATURAL SCIENCES,09/01/2008,"RUI: Controls on methanogenesis, methane oxidation, and consumer utilization of methane-derived carbon in arctic lakes"
0808604,08/27/2008,12/31/2012,ARCTIC NATURAL SCIENCES,09/01/2008,Reduction of iron and humic substances as a dominant respiratory process in arctic peat soils
0813635,07/31/2008,01/31/2015,ARCTIC SOCIAL SCIENCES,08/15/2008,Learning about environmental research in the context of climate change: an international scholastic interchange
0839122,06/10/2009,12/31/2013,ANTARCTIC GLACIOLOGY,01/01/2010,Collaborative Research: Integrated High Resolution Chemical and Biological Measurements on the Deep WAIS Divide Core
0842779,10/31/2008,11/30/2010,AON IMPLEMENTATION,12/01/2008,Science Plan and Workshop Support for Bering Strait Environmental Observations
0852077,07/13/2009,07/31/2012,POST DOC/TRAVEL,08/01/2009,PostDoctoral Research Fellowship
0855748,07/06/2009,08/31/2015,AON IMPLEMENTATION,09/01/2009,"Collaborative Research: An Ocean Observing System for the Bering Strait, the Pacific Gateway to the Arctic - an integral part of the Arctic Observing Network"
0855828,08/04/2009,07/31/2014,AON IMPLEMENTATION,08/15/2009,Collaborative Proposal: An Interdisciplinary Monitoring Mooring in the Western  Arctic Boundary Current: Climatic Forcing and Ecosystem Response
0856177,05/21/2009,09/30/2013,AON IMPLEMENTATION,06/15/2009,UpTempO: Measuring the Upper Layer Temperature of the Arctic Ocean
0856214,08/14/2009,08/31/2012,PHYSICAL OCEANOGRAPHY,09/01/2009,Collaborative Research: Sustained Observations of the North Pole Environment to Characterize Ongoing Arctic Change
0856268,07/16/2009,07/31/2013,AON IMPLEMENTATION,08/01/2009,Ultraviolet Radiation in the Arctic
0856305,08/26/2009,08/31/2014,AON IMPLEMENTATION,09/01/2009,Bering Sea Sub Network: A Distributed Human Sensor Array to Detect Arctic Environmental Change
0856330,08/14/2009,08/31/2017,AON IMPLEMENTATION,09/01/2009,Collaborative Research: Sustained Observations of the North Pole Environment to Characterize Ongoing Arctic Change
0856421,08/03/2009,12/31/2009,AON IMPLEMENTATION,08/15/2009,The Circumpolar Active Layer Monitoring Network--CALM III (2009-2014): Long-term Observations on the Climate-Active Layer-Permafrost System
0856479,08/13/2009,07/31/2014,AON IMPLEMENTATION,08/15/2009,AON:  Continuation of the of Ice-Tethered Profiler contribution to the Arctic Observing Network
0856503,06/29/2009,12/31/2011,AON IMPLEMENTATION,07/01/2009,A Replacement Laser for the Arctic High Spectral Resolution Lidar
0856531,06/18/2009,06/30/2014,AON IMPLEMENTATION,07/01/2009,AON:  Continuing the Beaufort Gyre Observing System to Document and Enhance Understanding Environmental Change in the Arctic
0856559,07/02/2009,09/30/2013,AON IMPLEMENTATION,07/15/2009,"Collaborative Research:  An Integrated Characterization of Energy, Clouds,   Atmospheric State, and Precipitation at Summit (ICECAPS)"
0856710,08/14/2009,07/31/2015,AON IMPLEMENTATION,08/15/2009,Arctic Observing Networks: Collaborative Research: Sustaining and amplifying the ITEX AON through automation and increased interdisciplinarity of observations
0856773,07/02/2009,09/30/2013,AON IMPLEMENTATION,07/15/2009,"Collaborative Research: Integrated Characterization of Energy, Clouds, Atmospheric State, and Precipitation at Summit (ICECAPS)"
0856845,06/15/2009,06/30/2014,AON IMPLEMENTATION,07/01/2009,"Continued Core Atmospheric and Snow Measurements at the Summit, Greenland Environmental Observatory"
0856853,05/21/2009,05/31/2013,AON IMPLEMENTATION,06/15/2009,"Fire In the Arctic Landscape: Impacts, Interactions And Links To Global and Regional Environmental  Change"
0856864,05/21/2009,11/30/2014,AON IMPLEMENTATION,06/15/2009,AON: Thermal State of Permafrost (TSP) in North America and Northern Eurasia: The US Contribution to the International network of Permafrost Observatories (INPO)
0856867,08/17/2009,12/31/2016,AON IMPLEMENTATION,01/01/2010,Collaborative Research on the State of the Arctic Sea Ice Cover: Sustaining the Integrated Seasonal Ice Zone Observing Network (SIZONET)
0902106,06/10/2009,08/31/2013,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2009,COLLABORATIVE RESEARCH: How does changing seasonality affect the capacity of arctic stream networks to influence nutrient fluxes from the landscape to the ocean?
0902126,06/16/2009,06/30/2013,ARCTIC SYSTEM SCIENCE PROGRAM,07/01/2009,Collaborative proposal: Shifting seasonality of Arctic river hydrology alters key biotic linkages among aquatic systems
0902146,08/14/2009,08/31/2013,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2009,"Understanding Climate-Driven Phenological Change: Observations, Adaptations and Cultural Implications in Northeastern Siberia and Labrador/Nunatsiavut (PHENARC)"
0902175,08/20/2009,08/31/2012,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2009,Collaborative Research: Seasonality of circumpolar tundra - ocean and atmosphere controls and effects on energy and carbon budgets
0902177,09/02/2009,08/31/2013,ARCTIC SYSTEM SCIENCE PROGRAM,09/15/2009,Tracking the Seasonal Contribution of Algal Fatty Acids to the Arctic Marine System
0902184,07/09/2009,08/31/2012,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2009,Collaborative Research: The Changing Seasonality of Tundra Nutrient Cycling: Implications for Ecosystem and Arctic System Functioning
0903124,06/04/2009,08/31/2012,PALEOCLIMATE PROGRAM,09/01/2009,"Collaborative Research:  P2C2--Ice Core Paleoclimate Records from Combatant Col, British Columbia, Canada"
0904050,01/27/2009,06/30/2012,ECOSYSTEM STUDIES,09/30/2008,"Collaborative Research: RUI: Landscape-level Controls on Terrestrial, Aquatic, and Wetland Responses to Climate Change in the Southern Canadian Arctic"
