"funding","title"
"1203250","Ultraviolet Radiation in the Arctic: 2012-2015"
"0714078","Collaborative Research: The Impacts of Arctic Storms on Landfast Ice Variations"
"1215551","Early-concept grant for exploratory research (EAGER) proposal: Accessing the potential of clumped isotope thermometry to constrain temperatures in the Arctic during the Pliocene"
"1107885","Collaborative Research: Resolving centennial- to millennial-scale trends in glacier extent and lake sedimentation in the Brooks Range, Arctic Alaska"
"1107662","Collaborative Research: Resolving centennial- to millennial-scale trends in glacier extent and lake sedimentation in the Brooks Range, Arctic Alaska"
"1107106","Integrating Passive Acoustic Monitoring in long-term oceanographic observations of the Bering Strait"
"1108451","Development of the Autonomous Arctic Infrared Observer (AAIRO)"
"1042531","Collaborative Research: Science Coordination Office for Summit Station and the Greenland Traverse"
"0909349","River Plumes as Indicators for Greenland Ice Sheet Melt"
"0612391","NA"
"1023651","Collaborative Research: A pan-Arctic, storm-by-storm isotopic investigation of the influence of Arctic sea ice on precipitation - a crucial link in the coupled climate system"
"1022032","Collaborative Research: A pan-Arctic, storm-by-storm isotopic investigation of the influence of Arctic sea ice on precipitation - a crucial link in the coupled climate system"
"0842779","Science Plan and Workshop Support for Bering Strait Environmental Observations"
"0806451","COLLABORATIVE RESEARCH:   Spatial and Temporal Influences of thermokarst features on Surface Processes in Arctic Landscapes"
"0612452","Development of data products for the  University of Wisconsin High Spectral Resolution Lidar"
"1205152","Rapid Response Research: Accessing New Sea Ice in an Arctic Winter Polynya"
"0632201","IPY:  Observing the dynamics of the deepest waters in the Arctic Ocean"
"1331019","Doctoral Dissertation Improvement:   Influences on Nutritional Status among Alaska Native Older Adults of Anchorage, Alaska"
"0732944","Collaborative Research.  IPY:  The Polaris Project:  Rising Stars in the Arctic"
"0908724","Frost flowers in Arctic winter: Sea-to-air transport of microbes and viruses"
"1255228","CAREER: Microbial Allocation of Assimilated Carbon: Interactions between Temperature, Substrate Quality, and Microbial Physiology Determine Efficiency of Arctic Soil Carbon Cycling"
"1210728","Dissertation Research: Is organic matter chemistry or temperature a stronger driver of microbial community structure in permafrost soil?"
"1303864","High Resolution, Active Remote Sensing of Cloud Microphysics at Summit, Greenland with Polarized Raman Lidar"
"0909048","Collaborative research: Glacier seismicity and its relationship to basal movement"
"0710891","Collaborative Research: High-resolution studies of glacier dynamics at two major outlet glaciers in East Greenland"
"1204013","Collaborative Research:  Exploring the Dynamics of the Active Layer and Near-Surface Permafrost across the North Slope of Alaska"
"1107623","COLLABORATIVE RESEARCH: Observing and characterizing submesoscale dynamics in the Arctic Ocean"
"1107277","Collaborative Research: Observing and Characterizing Submesoscale Dynamics in the Arctic ocean"
"1003740","Collaborative Research: Unraveling the post-Pliocene Arctic Ocean transition to the icehouse climate"
"1003777","Collaborative research: Unraveling the post-Pliocene Arctic Ocean transition to the icehouse climate"
"1970165","NA"
"1893085","NA"
"2085785","NA"
"1546225","NA"
"1488415","NA"
"1469145","NA"
"2220675","NA"
"1859976","NA"
"1235161","NA"
"0633878","Collaborative Research:  A Modular Approach to Building an Arctic Observing System for the IPY and Beyond in the Switchyard Region of the Arctic Ocean"
"0633885","Collaborative Research:  A Modular Approach to Building an Arctic Observing System for the IPY and Beyond in the Switchyard Region of the Arctic Ocean"
"0633343","NA"
"0909523","Collaborative Research: Nonlinearities in the Arctic climate system during the Holocene"
"0908200","Collaborative research: Nonlinearities in the Arctic climate system during the Holocene"
"0909354","Collaborative Research: Nonlinearities in the Arctic climate system during the Holocene"
"0909362","Collaborative Research: Nonlinearities in the Arctic climate system during the Holocene"
"0909502","Re-visiting ""The Limnology of Tundra Ponds"": Re-sampling historic sites to track global change in Arctic aquatic ecosystems."
"0935336","EAGER: Developing a high-resolution late Holocene sediment record of rapid Arctic climate change from the Colville delta and adjacent Beaufort Sea inner shelf"
"1216385","Doctoral Dissertation Improvement Grant: Microblades, Bifaces, and the Chindadn Complex: Reinvestigating the Healy Lake Archaeological Record, Alaska"
"1204145","NA"
"0806776","Collaborative Research: Cold-season gas exchange of arctic plants - resolving winter carbon and water balances of Alaskan arctic tundra"
"0855748","Collaborative Research: An Ocean Observing System for the Bering Strait, the Pacific Gateway to the Arctic - an integral part of the Arctic Observing Network"
"0856786","Collaborative Research:  An Ocean Observing System for the Bering Strait, the Pacific Gateway to the Arctic -¬ an integral part of the Arctic Observing Network"
"1854545","NA"
"1565495","RUI: Development of Computational Methods and Applications to Molecules in Microsolvation Environments."
"1738925","Support US-based Students to Attend the BioImage Informatics Conference 2017 (BII 2017)"
"1929698","NA"
"1107381","Collaborative Research:  Linking belowground phenology and ecosystem function in a warming Arctic"
"1107343","Collaborative Research: Ice Core Studies Reconstructing Greenland Climate During the Eemian and Beyond"
"1203902","A multi-faceted evaluation of aerosol impacts on Arctic clouds"
"1023672","Collaborative Proposal:  Aerosol Concentrations, Sources and Transport Pathways within the Arctic Polar Dome during Recent Millennia"
"0856421","The Circumpolar Active Layer Monitoring Network--CALM III (2009-2014): Long-term Observations on the Climate-Active Layer-Permafrost System"
"0856868","NA"
"6595008","NA"
"3030577","NA"
"3612378","NA"
"5774849","NA"
"9649872","NA"
"3023587","NA"
"3553661","NA"
"6546312","NA"
"3238646","NA"
"1971361","NA"
"5280656","NA"
"6482702","NA"
"7402121","NA"
"1948990","NA"
"5043229","NA"
"2751908","NA"
"1844606","NA"
"7217819","NA"
"3120048","NA"
"6394396","NA"
"1011255","NA"
"1122478","Ultrasensitivity in the Absence of Allostery for Multisite Chemical Reaction Networks"
"1023331","Collaborative Research: Annual Observations of the Biological and Physical Marine Environment in the Chukchi and Nearshore Beaufort Seas near Barrow, AK"
