file,pubDate
arctic-data.10000.1,2016-12-28
arctic-data.10014.16,2017-01-11
arctic-data.10015.9,2017-01-12
arctic-data.10018.31,2017-01-23
arctic-data.10020.22,2017-02-02
arctic-data.10024.8,2017-02-03
arctic-data.10038.5,2017-02-03
arctic-data.10039.2,2017-02-03
arctic-data.10040.2,2017-02-03
arctic-data.10042.10,2017-02-08
arctic-data.10043.11,2017-02-09
arctic-data.10045.6,2017-02-13
arctic-data.10048.6,2017-02-15
arctic-data.10050.5,2017-02-15
arctic-data.10052.6,2017-02-15
arctic-data.10053.6,2017-05-28
arctic-data.10054.3,2017-02-16
arctic-data.10055.8,2017-02-17
arctic-data.10058.5,2017-02-20
arctic-data.10059.21,2017-02-22
arctic-data.10060.3,2017-02-21
arctic-data.10063.5,2017-02-24
arctic-data.10064.4,2017-02-24
arctic-data.10065.4,2017-04-28
arctic-data.10066.6,2017-02-28
arctic-data.10067.6,2017-03-03
arctic-data.10069.6,2017-03-08
arctic-data.10070.2,2017-03-09
arctic-data.10071.9,2017-03-10
arctic-data.10.1,2016-03-21
arctic-data.10107.8,2017-04-20
arctic-data.10108.4,2017-03-23
arctic-data.10110.7,2017-03-23
arctic-data.10113.7,2017-04-20
arctic-data.10114.11,2017-03-24
arctic-data.10115.11,2017-03-24
arctic-data.10117.5,2017-11-29
arctic-data.10122.6,2017-11-29
arctic-data.10124.4,2017-11-29
arctic-data.10126.9,2017-11-29
arctic-data.10128.5,2017-11-29
arctic-data.10130.5,2017-11-29
arctic-data.10132.6,2017-11-29
arctic-data.10134.5,2017-11-29
arctic-data.10136.6,2017-11-29
arctic-data.10138.5,2017-11-29
arctic-data.10140.4,2017-11-29
arctic-data.10142.5,2017-11-29
arctic-data.10144.5,2017-11-29
arctic-data.10146.5,2017-11-29
arctic-data.10148.4,2017-11-29
arctic-data.10151.6,2018-03-29
arctic-data.10153.4,2017-03-26
arctic-data.10154.10,2017-04-20
arctic-data.10156.1,2017-03-30
arctic-data.10495.7,2017-04-14
arctic-data.10496.1,2017-04-04
arctic-data.10497.9,2017-04-07
arctic-data.10499.6,2017-04-10
arctic-data.10502.6,2017-04-10
arctic-data.10504.7,2017-04-12
arctic-data.10506.4,2017-04-10
arctic-data.10508.5,2017-04-10
arctic-data.10510.4,2017-04-10
arctic-data.10512.4,2017-04-10
arctic-data.10514.4,2017-04-10
arctic-data.10516.5,2017-04-10
arctic-data.10518.4,2017-04-10
arctic-data.10520.4,2017-04-10
arctic-data.10522.5,2017-04-10
arctic-data.10524.4,2017-04-10
arctic-data.10529.10,2017-04-10
arctic-data.10530.3,2017-04-13
arctic-data.10536.12,2017-04-17
arctic-data.10538.17,2017-04-21
arctic-data.10540.6,2017-04-27
arctic-data.10542.7,2017-04-27
arctic-data.10544.6,2017-04-27
arctic-data.10545.2,2017-04-24
arctic-data.10547.8,2017-04-25
arctic-data.11065.9,2017-04-26
arctic-data.13710.5,2017-04-26
arctic-data.13714.3,2017-04-28
arctic-data.13716.2,2017-10-30
arctic-data.13724.4,2017-05-08
arctic-data.13735.3,2017-05-08
arctic-data.13740.1,2017-05-08
arctic-data.13748.3,2017-05-08
arctic-data.13749.4,2017-05-08
arctic-data.13753.2,2017-05-08
arctic-data.13754.8,2017-05-16
arctic-data.13755.3,2017-05-08
arctic-data.13757.2,2017-05-09
arctic-data.13758.12,2017-05-10
arctic-data.13762.8,2017-05-17
arctic-data.13767.5,2017-05-17
arctic-data.13777.3,2017-05-17
arctic-data.13778.2,2017-05-21
arctic-data.13784.7,2017-05-10
arctic-data.13788.4,2017-05-22
arctic-data.13802.7,2017-05-22
arctic-data.13809.12,2017-05-24
arctic-data.13814.7,2017-05-24
arctic-data.13819.5,2017-05-25
arctic-data.13835.9,2017-06-02
arctic-data.13837.3,2017-06-06
arctic-data.13839.7,2017-06-07
arctic-data.13841.4,2017-06-12
arctic-data.13843.4,2017-06-12
arctic-data.13844.3,2017-06-19
arctic-data.13854.3,2017-06-21
arctic-data.13861.9,2017-11-30
arctic-data.13863.4,2017-06-26
arctic-data.13865.8,2017-06-28
arctic-data.13876.5,2017-06-29
arctic-data.13877.3,2017-06-29
arctic-data.13879.7,2017-07-05
arctic-data.13882.7,2017-07-19
arctic-data.13888.14,2017-07-25
arctic-data.13890.3,2017-07-19
arctic-data.13891.10,2017-07-21
arctic-data.13911.24,2017-07-24
arctic-data.13917.14,2017-07-25
arctic-data.13923.10,2017-07-25
arctic-data.13929.9,2017-07-25
arctic-data.13935.9,2017-07-25
arctic-data.13941.7,2017-07-24
arctic-data.13947.6,2017-07-25
arctic-data.13951.5,2017-07-26
arctic-data.13958.12,2017-07-26
arctic-data.13963.13,2017-07-25
arctic-data.13971.12,2017-07-26
arctic-data.13973.5,2017-07-27
arctic-data.13979.4,2017-08-01
arctic-data.13984.5,2017-08-01
arctic-data.13990.6,2017-08-01
arctic-data.13996.6,2017-08-01
arctic-data.14002.5,2017-08-01
arctic-data.14008.5,2017-08-01
arctic-data.14014.5,2017-08-02
arctic-data.14020.6,2017-08-02
arctic-data.14026.6,2017-08-02
arctic-data.14032.5,2017-08-02
arctic-data.14037.7,2017-08-02
arctic-data.14043.5,2017-08-04
arctic-data.14049.4,2017-08-04
arctic-data.14055.4,2017-08-04
arctic-data.14061.4,2017-08-04
arctic-data.14067.4,2017-08-04
arctic-data.14073.4,2017-08-04
arctic-data.14079.4,2017-08-04
arctic-data.14081.1,2017-08-06
arctic-data.14082.5,2017-08-08
arctic-data.14083.8,2017-08-10
arctic-data.14084.7,2017-08-10
arctic-data.14085.5,2017-08-10
arctic-data.14086.6,2017-08-10
arctic-data.14088.10,2017-08-11
arctic-data.14089.3,2017-08-28
arctic-data.14090.7,2017-08-31
arctic-data.14092.5,2017-08-31
arctic-data.14104.5,2017-09-07
arctic-data.14105.4,2017-09-12
arctic-data.14107.8,2017-09-22
arctic-data.14109.6,2017-09-22
arctic-data.14110.1,2017-09-24
arctic-data.14112.5,2017-09-27
arctic-data.14119.6,2017-09-28
arctic-data.14129.11,2017-09-28
arctic-data.14135.18,2017-09-28
arctic-data.14144.7,2017-09-28
arctic-data.14153.6,2017-09-28
arctic-data.14161.8,2017-09-28
arctic-data.14169.6,2017-09-28
arctic-data.14178.9,2017-09-28
arctic-data.14184.5,2017-09-28
arctic-data.14186.10,2017-11-07
arctic-data.14189.12,2017-10-06
arctic-data.14197.6,2017-10-02
arctic-data.14199.5,2017-10-03
arctic-data.14201.6,2017-10-03
arctic-data.14203.8,2017-10-04
